model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 3 Series,2018,17250,Automatic,15189,Diesel,145,67.3,2,BMW
 Mokka X,2016,9698,Manual,30841,Petrol,200,42.2,1.6,vauxhall
 Corsa,2017,10495,Automatic,16837,Petrol,145,47.1,1.4,vauxhall
 EcoSport,2018,13697,Manual,16815,Diesel,145,68.9,1.5,ford
 E Class,2017,18791,Semi-Auto,52232,Diesel,20,67.3,2,merc
 A1,2016,12999,Manual,22085,Petrol,30,55.4,1.4,Audi
 C-HR,2017,16499,Manual,12000,Petrol,145,47.1,1.2,toyota
 Tucson,2016,16995,Manual,15507,Diesel,125,58.9,2,hyundi
 5 Series,2020,36990,Semi-Auto,10,Diesel,145,60.1,3,BMW
 Golf,2018,13998,Semi-Auto,17595,Petrol,145,57.7,1,volkswagen
 Focus,2018,13498,Manual,11206,Petrol,145,57.7,1,ford
 Corsa,2011,4495,Automatic,48435,Petrol,165,44.8,1.4,vauxhall
 Fiesta,2018,10700,Manual,14126,Petrol,145,65.7,1,ford
 Golf,2016,17322,Semi-Auto,29426,Diesel,30,62.8,2,volkswagen
 Focus,2015,8500,Manual,32620,Diesel,0,74.3,1.5,ford
 Grandland X,2018,14495,Manual,8755,Petrol,145,55.4,1.2,vauxhall
 4 Series,2019,22480,Semi-Auto,4020,Diesel,145,60.1,2,BMW
 Fabia,2019,12991,Manual,4564,Petrol,145,52.3,1,skoda
 Meriva,2016,6498,Manual,43121,Petrol,150,47.1,1.4,vauxhall
 Q5,2016,23912,Semi-Auto,33500,Diesel,200,45.6,3,Audi
 GLA Class,2019,23899,Semi-Auto,12131,Diesel,145,67.3,2.1,merc
 Tiguan,2020,29995,Manual,10,Diesel,145,47.9,2,volkswagen
 Fiesta,2014,7200,Manual,23594,,0,,1,ford
 Astra,2019,14799,Manual,2473,Diesel,145,58.9,1.6,vauxhall
 Tourneo Connect,2015,9295,Manual,47904,Diesel,125,56.5,1.6,ford
 A4,2019,26490,Semi-Auto,6214,Petrol,145,38.7,2,Audi
 1 Series,2017,20995,Semi-Auto,22000,Petrol,150,39.8,3,BMW
 Adam,2016,7121,Manual,19568,,125,,1.4,vauxhall
 Tiguan,2019,30991,Manual,2000,Diesel,145,42.2,2,volkswagen
 Fiesta,2016,10499,Manual,25049,Petrol,20,62.8,1,ford
 Tucson,2017,14550,Semi-Auto,12322,Diesel,125,57.6,1.7,hyundi
 Corsa,2016,7799,Manual,25690,,30,,1.4,vauxhall
 Mokka,2014,5450,Manual,86318,Diesel,30,62.8,1.7,vauxhall
 Aygo,2018,8700,Manual,9899,Petrol,145,56.5,1,toyota
 Arteon,2020,28990,Semi-Auto,115,Petrol,145,47.1,2,volkswagen
 Fiesta,2018,,Manual,19550,,145,,1,ford
 A6,2016,19395,Semi-Auto,27764,Diesel,30,61.4,2,Audi
 Yaris,2019,12495,Manual,3099,Petrol,145,47.9,1.5,toyota
 Astra,2017,9210,Manual,20754,Petrol,145,51.4,1.4,vauxhall
 A4,2019,43990,Semi-Auto,5505,Diesel,150,40.4,3,Audi
 Q3,2020,36000,Semi-Auto,3000,Petrol,145,31.4,2,Audi
 Astra,2016,8499,Manual,38466,Petrol,125,51.4,1.4,vauxhall
 RAV4,2012,6980,Manual,74510,Diesel,205,47.1,2.2,toyota
 Corsa,2018,10479,Automatic,22608,Petrol,150,39.8,1.4,vauxhall
 Meriva,2016,7991,Manual,8094,Petrol,145,47.1,1.4,vauxhall
 Octavia,2019,16995,Manual,24,Diesel,145,68.9,1.6,skoda
 Mokka X,2019,12680,Manual,18372,Petrol,145,39.2,1.4,vauxhall
 Kuga,2019,18000,Manual,15269,Diesel,145,38.2,2,ford
 Focus,2016,12799,Manual,48537,Diesel,20,67.3,2,ford
 TT,2016,19485,Manual,28402,Diesel,30,62.8,2,Audi
 Fabia,2017,12495,Semi-Auto,10683,Petrol,145,60.1,1.2,skoda
 Viva,2016,5720,Manual,28708,Petrol,20,62.8,1,vauxhall
 Corsa,2007,1499,Manual,96468,Petrol,165,45.6,1.4,vauxhall
 Golf,2017,13800,Manual,18650,Diesel,145,61.4,1.6,volkswagen
 Ka+,2018,8300,Manual,23043,Petrol,150,57.7,1.2,ford
 Golf,2017,23975,Semi-Auto,12187,Petrol,145,39.2,2,volkswagen
 Fiesta,2016,8791,Manual,22542,Petrol,0,65.7,1,ford
 GLS Class,2019,48249,Semi-Auto,6510,Diesel,145,37.2,3,merc
 Fiesta,2016,8291,Manual,33331,Petrol,0,65.7,1,ford
 Tucson,2019,21995,Manual,4425,Petrol,150,34.9,1.6,hyundi
 Corsa,2019,9790,Manual,19954,Petrol,145,44.8,1.4,vauxhall
 Santa Fe,2016,19797,Manual,14785,Diesel,200,46.3,2.2,hyundi
 Auris,2014,11000,Automatic,54669,Hybrid,0,76.4,1.8,toyota
 Polo,2016,8995,Manual,42609,Petrol,20,60.1,1.2,volkswagen
 Astra,2016,9298,Manual,22223,Petrol,125,51.4,1.4,vauxhall
 I30,2015,8699,Automatic,33791,Diesel,20,67.3,1.6,hyundi
 A Class,2014,11040,Semi-Auto,31905,Diesel,20,70.6,1.5,merc
 E Class,2017,17700,Automatic,34786,Diesel,20,72.4,2,merc
 3 Series,2016,12950,Manual,33301,Petrol,145,49.6,1.5,BMW
 Focus,2019,19500,Automatic,5091,Diesel,145,54.3,1.5,ford
 X5,2019,49995,Semi-Auto,1972,Diesel,145,37.7,3,BMW
 Golf,2016,7499,Manual,85788,Diesel,20,72.4,1.6,volkswagen
 S Class,2017,34999,Semi-Auto,22906,Diesel,145,52.3,3,merc
 4 Series,2020,26950,Semi-Auto,10,Diesel,145,65.7,2,BMW
 Fabia,2015,6359,Manual,56162,Diesel,0,83.1,1.4,skoda
 Yaris,2017,12350,Automatic,18000,Hybrid,135,76.3,1.5,toyota
 Focus,2017,11491,Manual,5178,Petrol,20,61.4,1,ford
 5 Series,2015,10750,Manual,68310,Diesel,30,65.7,2,BMW
 2 Series,2019,23246,Semi-Auto,6139,Petrol,145,47.9,2,BMW
