model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Grandland X,2018,15798,Manual,28627,Diesel,145,56.5,1.5,vauxhall
 Passat,2015,10332,Semi-Auto,57121,Diesel,30,60.1,2,volkswagen
 Fiesta,2018,12495,Manual,15500,Petrol,150,58.9,1,ford
 T-Roc,2018,22990,Manual,9048,Petrol,145,53.3,1.5,volkswagen
 Polo,2015,8498,Manual,27910,Petrol,20,60.1,1,volkswagen
 Aygo,2017,6998,Manual,20155,Petrol,145,68.9,1,toyota
 Astra,2017,10750,Manual,19597,Petrol,125,51.4,1.4,vauxhall
 SL CLASS,2010,16990,Automatic,18000,Petrol,555,29.1,3.5,merc
 Mokka X,2018,11990,Manual,32011,Petrol,150,47.1,1.4,vauxhall
 X3,2019,31400,Semi-Auto,13191,Petrol,145,30.4,2,BMW
 Golf,2019,25500,Automatic,7234,Petrol,145,44.8,2,volkswagen
 Fiesta,2016,8650,Manual,30104,Petrol,0,65.7,1,ford
 Karoq,2018,18290,Manual,7757,Petrol,145,52.3,1.5,skoda
 Fiesta,2017,7750,Manual,19705,Petrol,125,54.3,1.2,ford
 EcoSport,2018,12000,Manual,13955,Petrol,145,53.3,1,ford
 Adam,2017,7717,Manual,22728,Petrol,125,52.3,1.4,vauxhall
 Polo,2016,8698,Manual,20686,Petrol,20,60.1,1,volkswagen
 Fiesta,2016,8990,Manual,23377,Petrol,0,65.7,1,ford
 Golf,2016,15999,Manual,26498,Diesel,20,67.3,2,volkswagen
 B Class,2020,26000,Semi-Auto,4000,Diesel,145,55.4,2,merc
 Q3,2020,30000,Manual,1000,Petrol,145,40.9,1.5,Audi
 CLS Class,2013,10200,Automatic,71004,Diesel,145,55,2.1,merc
 3 Series,2019,27498,Semi-Auto,14793,,145,,2,BMW
 T-Cross,2019,16993,Manual,4000,Petrol,145,47.9,1,volkswagen
 Focus,2015,6645,Manual,72000,Diesel,0,74.3,1.5,ford
 Grandland X,2019,19971,Automatic,5902,Petrol,145,42.8,1.2,vauxhall
 KA,2014,4890,Manual,14512,Petrol,30,57.7,1.2,ford
 Fiesta,2018,10200,Manual,7471,Petrol,145,64.2,1.1,ford
 Golf,2014,12450,Manual,67000,Diesel,20,67.3,2,volkswagen
 Fabia,2019,8200,Manual,14925,Petrol,145,50.4,1,skoda
 Golf,2018,18250,Manual,20096,Diesel,145,60.1,2,volkswagen
 E Class,2018,22691,Automatic,16806,Diesel,145,61.4,2,merc
 Fabia,2011,5495,Manual,31599,Petrol,125,54.3,1.2,skoda
 Crossland X,2019,10905,Manual,18815,Petrol,145,47.1,1.2,vauxhall
 Astra,2017,9599,Manual,20500,Petrol,145,52.3,1.4,vauxhall
 Q2,2017,18700,Semi-Auto,36000,Petrol,145,52.3,1.4,Audi
 Q2,2017,21000,Automatic,23000,Petrol,125,52.3,1.4,Audi
 Fiesta,2015,7300,Manual,34972,Petrol,0,65.7,1,ford
 Yaris,2017,13499,Automatic,10922,Hybrid,0,78,1.5,toyota
 A Class,2017,19998,Automatic,22755,Petrol,145,45.6,2,merc
 Golf,2019,13995,Manual,11020,Diesel,145,57.7,1.6,volkswagen
 Corsa,2016,6750,Manual,29020,Petrol,30,55.4,1.4,vauxhall
 E Class,2018,22999,Automatic,13284,Diesel,145,72.4,2,merc
 Q5,2019,35950,Automatic,3003,Diesel,150,38.2,2,Audi
 Focus,2018,12990,Manual,20000,Petrol,145,58.9,1,ford
 Touran,2016,15495,Manual,30310,Diesel,30,61.4,1.6,volkswagen
 Kodiaq,2018,23999,Semi-Auto,19780,Diesel,150,49.6,2,skoda
 Focus,2014,5290,Manual,59003,Diesel,20,67.3,1.6,ford
 Mokka X,2019,13084,Manual,13551,Petrol,145,39.2,1.4,vauxhall
 3 Series,2011,9490,Automatic,59000,Diesel,235,44.1,3,BMW
 Tiguan,2019,27995,Semi-Auto,8854,Diesel,145,40.4,2,volkswagen
 SLK,1998,1990,Automatic,99300,Petrol,265,32.1,2.3,merc
 A5,2019,31900,Automatic,3794,Diesel,145,45.6,2,Audi
 Golf SV,2016,12790,Semi-Auto,42000,Petrol,125,50.4,1.4,volkswagen
 Golf,2016,,Semi-Auto,6636,,30,,2,volkswagen
 Golf,2016,15000,Manual,42000,Diesel,20,68.9,2,volkswagen
 Astra,2019,14994,Manual,6432,Petrol,145,58.9,1.4,vauxhall
 A3,2018,20488,Manual,13069,Petrol,145,54.3,1.5,Audi
 3 Series,2015,13400,Automatic,24741,Diesel,30,62.8,2,BMW
 A Class,2019,22999,Semi-Auto,510,Petrol,145,53.3,1.3,merc
 C-MAX,2016,9491,Manual,38839,Diesel,20,68.9,1.5,ford
 Astra,2011,2880,Manual,81000,Diesel,30,62.8,1.7,vauxhall
 2 Series,2019,21980,Manual,5587,Petrol,145,52.3,1.5,BMW
 2 Series,2019,21980,Automatic,3935,Diesel,145,68.9,2,BMW
 Golf,2014,6395,Manual,113000,Diesel,20,68.9,2,volkswagen
 2 Series,2018,22998,Semi-Auto,27542,Petrol,145,39.8,3,BMW
 Kuga,2018,17550,Manual,16672,Diesel,145,64.2,1.5,ford
 CLS Class,2015,18680,Automatic,46085,Diesel,160,51.4,3,merc
 Mokka,2016,9999,Manual,23586,,20,,1.6,vauxhall
 1 Series,2015,8990,Manual,47000,Petrol,125,53.3,1.5,BMW
 X5,2016,,Automatic,72219,,205,,3,BMW
 X3,2014,19640,Semi-Auto,80078,Diesel,200,47.1,3,BMW
 C Class,2014,12900,Automatic,41000,Petrol,160,44.8,1.6,merc
 Fabia,2017,11495,Semi-Auto,25840,Petrol,150,60.1,1.2,skoda
 Mokka X,2017,9490,Manual,28000,Petrol,145,47.1,1.4,vauxhall
 Yaris,2014,8440,Automatic,19000,Petrol,30,55,1.3,toyota
 A Class,2020,41729,Semi-Auto,1000,Petrol,145,32.8,2,merc
 Golf,2017,18999,Manual,22751,Diesel,145,60.1,2,volkswagen
 Edge,2017,19995,Manual,22930,Diesel,160,48.7,2,ford
 Q2,2017,19701,Semi-Auto,18434,Petrol,125,52.3,1.4,Audi
 A Class,2018,22031,Semi-Auto,13842,Petrol,145,53.3,1.3,merc
 C Class,2018,26748,Automatic,17970,Diesel,145,65.7,2.1,merc
 Golf,2018,20791,Semi-Auto,38360,Diesel,145,57.7,2,volkswagen
 E Class,2018,34199,Semi-Auto,413,Diesel,145,41.5,3,merc
 Grand Tourneo Connect,2016,13482,Manual,21862,Diesel,30,64.2,1.5,ford
 E Class,2018,35890,Automatic,7200,Diesel,145,42.8,3,merc
 Fabia,2019,10495,Manual,10232,Petrol,145,61.4,1,skoda
 Aygo,2019,,Manual,1472,,145,,1,toyota
 1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5,BMW
 Caravelle,2019,47994,Semi-Auto,7801,Diesel,150,32.8,2,volkswagen
 Fiesta,2014,8000,Manual,22295,Petrol,0,65.7,1,ford
 C Class,2019,28998,Manual,22,Petrol,145,48.7,1.6,merc
 Superb,2019,18995,Manual,4998,Petrol,145,40.9,1.5,skoda
 Focus,2016,8298,Manual,49173,Diesel,0,74.3,1.5,ford
 Polo,2018,13291,Manual,16000,Petrol,150,62.8,1,volkswagen
 Focus,2019,17800,Manual,3200,Petrol,145,58.9,1,ford
 Up,2020,10990,Manual,25,Petrol,150,54.3,1,volkswagen
 Adam,2019,10495,Manual,3455,Petrol,145,44.8,1.2,vauxhall
 CL Class,2017,20290,Automatic,21386,Diesel,20,67.3,2.1,merc
 C Class,2019,33149,Semi-Auto,9000,,145,,2,merc
 GLC Class,2017,26980,Automatic,26234,Diesel,145,56.5,2.1,merc
 2 Series,2015,9295,Manual,71670,Diesel,20,68.9,2,BMW
 Adam,2015,6250,Manual,10870,Petrol,125,53.3,1.2,vauxhall
 Q2,2017,21995,Semi-Auto,17633,Petrol,145,52.3,1.4,Audi
 Fiesta,2017,10298,Manual,9148,Petrol,145,65.7,1,ford
 Corsa,2017,7990,Manual,28427,Petrol,145,55.4,1.4,vauxhall
 Mokka X,2019,14160,Manual,11537,Petrol,145,39.2,1.4,vauxhall
 Corsa,2018,7499,Manual,24752,Petrol,145,55.4,1.4,vauxhall
 I10,2018,9499,Manual,8000,,150,,1,hyundi
 A6,2019,30000,Automatic,8000,Diesel,145,50.4,2,Audi
 Adam,2017,8282,Manual,4553,Petrol,145,53.3,1.2,vauxhall
 Zafira,2016,10590,Manual,7399,Petrol,200,42.2,1.4,vauxhall
 Kamiq,2019,16991,Manual,458,Petrol,150,49.6,1,skoda
 I10,2017,10591,Semi-Auto,14097,Petrol,150,47.9,1.2,hyundi
 E Class,2019,37995,Automatic,9,Diesel,145,57.7,2,merc
 Aygo,2018,6600,Manual,28023,Petrol,145,69,1,toyota
 Q2,2019,29566,Automatic,5123,Petrol,145,33.2,2,Audi
 E Class,2020,39895,Semi-Auto,101,Petrol,145,33.7,2,merc
 Q3,2019,24990,Manual,6000,Petrol,145,40.9,1.5,Audi
 Golf,2017,12810,Manual,20351,Petrol,145,58.9,1,volkswagen
 A3,2015,8490,Manual,40000,Diesel,20,68.9,2,Audi
 Tucson,2016,10280,Manual,27992,Petrol,160,44.8,1.6,hyundi
 Astra,2014,5250,Manual,100896,Diesel,0,76.3,1.6,vauxhall
 A1,2014,10500,Manual,60128,Petrol,125,52.3,1.4,Audi
 Kuga,2017,15495,Manual,14565,Diesel,150,64.2,1.5,ford
 Fiesta,2016,9350,Manual,10373,Petrol,0,65.7,1,ford
 C Class,2017,25999,Semi-Auto,6600,Petrol,145,47.1,2,merc
 Tiguan,2019,25995,Semi-Auto,6662,Diesel,150,39.8,2,volkswagen
 Adam,2016,8295,Manual,25038,Petrol,125,52.3,1.4,vauxhall
 Octavia,2017,11995,Semi-Auto,22965,Petrol,145,57.7,1.4,skoda
 Ka+,2018,8888,Manual,25000,Petrol,145,47.9,1.2,ford
 Focus,2019,16000,Manual,11979,Petrol,150,60.1,1,ford
 Kona,2018,14964,Manual,13733,Petrol,145,44.1,1,hyundi
 Fiesta,2017,8380,Manual,28298,Petrol,0,65.7,1,ford
 Adam,2018,10495,Manual,900,Petrol,145,56.5,1.4,vauxhall
 Fiesta,2015,8799,Manual,31117,Petrol,0,65.7,1,ford
 Yeti Outdoor,2017,12990,Manual,37307,Petrol,125,51.4,1.2,skoda
 Q5,2020,49865,Semi-Auto,3272,Diesel,145,34.5,3,Audi
 Focus,2017,17298,Manual,9463,Petrol,145,41.5,2,ford
 2 Series,2017,13700,Automatic,20996,Diesel,20,68.9,2,BMW
 CL Class,2017,18300,Semi-Auto,40684,Diesel,145,58.9,2.1,merc
 Q3,2020,33990,Manual,24,Petrol,145,39.8,1.5,Audi
 SQ5,2017,37700,Automatic,20000,Petrol,145,34,3,Audi
 Fiesta,2018,12998,Semi-Auto,9917,Petrol,145,54.3,1,ford
 X1,2016,18797,Automatic,13505,Diesel,125,57.6,2,BMW
 3 Series,2019,28110,Automatic,1500,Petrol,145,42.2,2,BMW
 X4,2018,40000,Semi-Auto,4135,,145,,3,BMW
 A3,2016,16500,Manual,11369,Diesel,20,65.7,2,Audi
 A3,2017,17255,Manual,26111,Petrol,30,60.1,1.4,Audi
 Passat,2017,13995,Manual,21457,Diesel,20,68.9,2,volkswagen
 Octavia,2019,16995,Semi-Auto,5906,Petrol,145,55.4,1.5,skoda
 Focus,2018,18990,Manual,8624,Petrol,145,41.5,2,ford
 B Class,2013,8990,Automatic,52000,Diesel,30,60.1,1.8,merc
 Tiguan,2019,29950,Automatic,8980,Diesel,145,45.6,2,volkswagen
 Golf,2016,12295,Manual,31393,Diesel,0,74.3,1.6,volkswagen
 Viva,2017,6941,Manual,15871,Petrol,145,62.8,1,vauxhall
 Golf,2016,18750,Semi-Auto,24250,Petrol,160,44.1,2,volkswagen
 Q7,2018,65000,Automatic,9923,Diesel,150,37.2,4,Audi
 A3,2019,24990,Manual,6000,Petrol,145,43.5,1.5,Audi
 6 Series,2016,22910,Semi-Auto,25596,Diesel,200,49.6,3,BMW
 1 Series,2019,23450,Automatic,12725,Petrol,145,39.8,3,BMW
 Fabia,2017,10980,Automatic,20000,Other,145,60.1,1.2,skoda
 Astra,2018,13900,Manual,4349,Petrol,145,51.4,1.4,vauxhall
 Fiesta,2017,11295,Automatic,12674,Petrol,0,57.7,1,ford
 Fiesta,2017,9500,Manual,12154,Petrol,0,65.7,1,ford
 Tiguan,2020,32990,Manual,2986,Diesel,145,47.9,2,volkswagen
 S-MAX,2019,30000,Semi-Auto,623,Diesel,145,43.5,2,ford
 Golf SV,2018,18900,Semi-Auto,2500,Petrol,145,55.4,1.5,volkswagen
 Zafira,2017,11900,Manual,18562,Petrol,205,41.5,1.4,vauxhall
 Tiguan,2018,25981,Semi-Auto,22548,Petrol,145,38.2,2,volkswagen
 A3,2019,21690,Semi-Auto,8852,Petrol,150,42.2,1.5,Audi
 C Class,2019,34989,Automatic,4131,Diesel,145,55.4,2,merc
 5 Series,2019,32102,Semi-Auto,11878,Diesel,145,60.1,3,BMW
 Superb,2016,10999,Manual,67601,Diesel,20,67.3,2,skoda
 Corsa,2017,7250,Manual,55000,Petrol,150,54.3,1.4,vauxhall
 A Class,2018,19879,Automatic,12215,Petrol,145,28.5,1.3,merc
 A3,2019,22500,Semi-Auto,14307,Petrol,145,41.5,1.5,Audi
 Astra,2017,9220,Manual,23185,Petrol,145,52.3,1.4,vauxhall
 Fiesta,2017,10800,Manual,19929,Petrol,145,65.7,1,ford
 Q5,2011,6195,Manual,168017,Diesel,200,42.1,2,Audi
 E Class,2017,23995,Semi-Auto,16820,Diesel,145,51.4,3,merc
 Passat,2019,24498,Semi-Auto,10,Diesel,145,53.3,2,volkswagen
 Fabia,2013,4490,Manual,85860,Petrol,125,53.3,1.2,skoda
 C Class,2019,29995,Semi-Auto,13,Diesel,145,55.4,2,merc
 Yeti Outdoor,2017,15475,Manual,36400,Diesel,145,55.4,2,skoda
 Touareg,2019,44995,Automatic,100,Diesel,145,34.5,3,volkswagen
 Focus,2017,11750,Manual,32746,Diesel,145,74.3,1.5,ford
 A5,2019,29500,Automatic,1000,Petrol,145,39.8,2,Audi
 3 Series,2018,18990,Semi-Auto,17282,Diesel,150,64.2,2,BMW
 X7,2020,64995,Semi-Auto,1501,,145,,3,BMW
 A1,2019,21000,Semi-Auto,9000,Petrol,145,44.8,1.5,Audi
 GLS Class,2017,38990,Semi-Auto,23510,Diesel,150,37.2,3,merc
 Passat,2016,10998,Manual,45208,Diesel,20,68.9,2,volkswagen
 4 Series,2019,22446,Automatic,10164,Diesel,145,65.7,2,BMW
 S-MAX,2016,,Manual,52216,,125,,2,ford
 S Class,2019,54999,Automatic,2255,Diesel,145,52.3,3,merc
 2 Series,2019,21875,Semi-Auto,3995,Petrol,145,50.4,1.5,BMW
 T-Roc,2019,20912,Manual,6608,Diesel,145,50.4,1.6,volkswagen
 Golf,2018,19450,Manual,22000,Diesel,145,60.1,2,volkswagen
 Fiesta,2019,11998,Manual,9501,,145,,1,ford
 GLS Class,2019,54990,Semi-Auto,18717,Diesel,145,34,3,merc
 A3,2012,6695,Manual,48000,Diesel,20,68.9,1.6,Audi
 3 Series,2015,21242,Semi-Auto,18283,Diesel,160,51.4,3,BMW
 Yeti Outdoor,2016,11995,Manual,53918,Diesel,145,55.4,2,skoda
 Corolla,2019,26495,Automatic,1000,Hybrid,135,72.4,2,toyota
 A1,2016,10600,Manual,21428,Petrol,0,67.3,1,Audi
 Golf,2015,7475,Manual,66813,Diesel,0,88.3,1.6,volkswagen
 RAV4,2017,14795,Manual,47362,Diesel,125,60.1,2,toyota
 Aygo,2019,7995,Manual,13500,Petrol,145,56.5,1,toyota
 Golf,2019,20250,Manual,9500,Diesel,145,55.4,1.6,volkswagen
 2 Series,2015,9698,Manual,60891,Diesel,20,68.9,2,BMW
 Golf,2017,10752,Manual,68625,Diesel,145,61.4,1.6,volkswagen
 A Class,2019,104999,Semi-Auto,5822,Petrol,150,22.6,4,merc
 X4,2019,33998,Semi-Auto,14404,Diesel,150,42.8,2,BMW
 Corsa,2019,10490,Manual,5922,Petrol,150,43.5,1.4,vauxhall
 A1,2015,11998,Manual,23081,Petrol,0,67.3,1,Audi
 Touran,2016,15739,Manual,11338,Diesel,30,61.4,1.6,volkswagen
 EcoSport,2017,9300,Manual,28697,Petrol,145,52.3,1,ford
 Mondeo,2016,9000,Manual,61190,Diesel,0,78.5,1.5,ford
 A5,2017,22998,Semi-Auto,26939,,145,62.8,2,Audi
 Aygo,2009,4050,Manual,28230,Petrol,20,62.8,1,toyota
 Ka+,2018,7995,Manual,3569,Petrol,145,57.7,1.2,ford
 CL Class,2016,20100,Automatic,16249,Diesel,20,67.3,2.1,merc
 Grandland X,2019,20290,Automatic,12853,Diesel,145,57.7,1.5,vauxhall
 A3,2016,16511,Manual,23711,Petrol,30,57.6,1.4,Audi
 GT86,2019,25999,Manual,100,Petrol,145,33.2,2,toyota
 Fiesta,2016,7242,Manual,48548,Petrol,0,65.7,1,ford
 CLS Class,2016,23480,Semi-Auto,31310,Diesel,160,51.4,3,merc
 Corsa,2015,7298,Manual,28059,Petrol,125,54.3,1.4,vauxhall
 A1,2019,21995,Semi-Auto,3900,Petrol,145,40.9,2,Audi
 Astra,2016,9750,Manual,17787,Petrol,125,51.4,1.4,vauxhall
 S Class,2017,67699,Semi-Auto,15400,Petrol,145,28,5.5,merc
 Combo Life,2019,13498,Manual,11200,Petrol,150,42.2,1.2,vauxhall
 Octavia,2019,16540,Manual,5996,Diesel,145,54.3,2,skoda
 Q3,2019,30790,Semi-Auto,6119,Petrol,150,31.7,2,Audi
 i3,2016,14900,Automatic,59945,Hybrid,0,470.8,0,BMW
 A Class,2019,36432,Semi-Auto,1120,Petrol,145,35.3,2,merc
 Passat,2016,9500,Semi-Auto,89100,Diesel,30,62.8,2,volkswagen
 Yaris,2016,7998,Manual,30159,Petrol,30,58,1.3,toyota
 Golf,2017,16291,Manual,22534,Petrol,150,47.1,2,volkswagen
 Zafira,2018,13995,Manual,10000,Petrol,145,41.5,1.4,vauxhall
 GL Class,2016,18295,Automatic,17909,Petrol,145,50.4,1.6,merc
 Avensis,2015,9065,Manual,42238,Diesel,30,62.8,2,toyota
 Fiesta,2015,6990,Manual,29851,Diesel,0,76.4,1.5,ford
 Astra,2016,10000,Semi-Auto,13028,Petrol,125,52.3,1.4,vauxhall
 Q5,2016,19498,Manual,29049,Diesel,200,47.9,2,Audi
 Auris,2017,17628,Automatic,25000,,0,,1.8,toyota
 Kuga,2017,15400,Manual,29004,Diesel,150,54.3,2,ford
 Kuga,2015,7992,Manual,123000,Diesel,125,60.1,2,ford
 Corsa,2019,10695,Manual,8238,Petrol,145,43.5,1.4,vauxhall
 Mokka X,2017,11591,Semi-Auto,24133,Petrol,160,43.5,1.4,vauxhall
 I10,2020,11995,Manual,610,Petrol,145,56.5,1,hyundi
 3 Series,2019,33475,Semi-Auto,8576,Diesel,145,49.6,2,BMW
 2 Series,2019,19990,Semi-Auto,7891,Diesel,145,65.7,2,BMW
 C Class,2019,21599,Semi-Auto,9723,Diesel,145,61.4,2,merc
 Crossland X,2017,10591,Manual,6957,Petrol,150,58.9,1.2,vauxhall
 Mokka X,2019,12200,Manual,18803,Petrol,145,39.2,1.4,vauxhall
 Corsa,2015,5998,Manual,55493,Petrol,125,53.3,1.2,vauxhall
 Q5,2015,20176,Automatic,23530,Diesel,200,47.1,2,Audi
 Kuga,2017,13600,Manual,11744,Diesel,30,64.2,1.5,ford
 Passat,2019,21995,Semi-Auto,200,Diesel,145,47.1,1.6,volkswagen
 Astra,2019,17399,Automatic,10,Petrol,145,42.8,1.4,vauxhall
 Fiesta,2018,11500,Manual,3362,Petrol,150,65.7,1,ford
 1 Series,2015,11933,Semi-Auto,19168,Petrol,145,49.6,1.6,BMW
 Focus,2018,11499,Manual,21023,Petrol,145,60.1,1,ford
 A3,2016,11695,Manual,88140,Diesel,20,67.3,2,Audi
 A4,2019,25990,Automatic,3212,Diesel,145,50.4,2,Audi
 SQ7,2017,52888,Automatic,12000,Diesel,145,39.2,4,Audi
 Q5,2016,19998,Manual,34189,Diesel,200,47.9,2,Audi
 GLB Class,2020,39995,Semi-Auto,1912,Diesel,145,44.8,2,merc
 Viva,2016,6180,Manual,22081,Petrol,20,62.8,1,vauxhall
 RAV4,2013,10498,Manual,54057,Diesel,160,49.6,2.2,toyota
 A1,2015,13942,Manual,19516,Petrol,30,58.9,1.4,Audi
 1 Series,2014,8499,Manual,43248,Diesel,20,68.9,2,BMW
 C-MAX,2011,4795,Manual,62734,Petrol,200,42.8,1.6,ford
 Fabia,2019,10395,Manual,3000,Petrol,145,57.7,1,skoda
 Q3,2015,14990,Manual,55000,Diesel,145,52.3,2,Audi
 GLC Class,2017,25750,Automatic,22000,Diesel,145,56.5,2.1,merc
 Mokka X,2018,13995,Semi-Auto,9000,Petrol,145,37.2,1.4,vauxhall
 X3,2019,56000,Semi-Auto,26,Petrol,145,24.8,3,BMW
 Mokka X,2017,11995,Automatic,24418,Petrol,160,43.5,1.4,vauxhall
 Tucson,2017,14100,Semi-Auto,27299,Diesel,145,57.6,1.7,hyundi
 Golf,2016,19998,Semi-Auto,37482,Petrol,200,39.8,2,volkswagen
 Fiesta,2017,10990,Manual,10427,Petrol,145,65.7,1,ford
 Q5,2019,33985,Automatic,355,Diesel,145,39.2,2,Audi
 Golf,2014,8698,Manual,36636,Petrol,30,53.3,1.4,volkswagen
 X5,2019,47995,Semi-Auto,4339,Diesel,145,37.7,3,BMW
 A4,2019,24895,Semi-Auto,3679,Petrol,145,38.7,2,Audi
 Golf,2019,24290,Manual,2500,Petrol,145,47.9,1.5,volkswagen
 Kuga,2019,23000,Automatic,8000,Diesel,145,38.7,2,ford
 3 Series,2006,14500,Automatic,20000,Petrol,540,28.8,2.2,BMW
 Mokka X,2017,11995,Semi-Auto,28531,Petrol,160,43.5,1.4,vauxhall
 X1,2020,36991,Semi-Auto,800,Diesel,145,60.1,2,BMW
 GLC Class,2019,42495,Automatic,8999,Petrol,145,34,3,merc
 3 Series,2017,17998,Semi-Auto,32000,Diesel,145,62.8,2,BMW
 Corsa,2018,8250,Manual,27826,Petrol,145,55.4,1.4,vauxhall
 E Class,2018,23499,Semi-Auto,13904,Diesel,145,67.3,2,merc
 Octavia,2015,8698,Manual,47000,Diesel,0,74.3,1.6,skoda
 Adam,2018,12499,Manual,9037,Petrol,145,44.8,1.2,vauxhall
 Golf,2020,27990,Automatic,390,Petrol,150,44.1,1.5,volkswagen
 Mondeo,2013,7995,Automatic,45050,Diesel,160,50.4,2,ford
 Focus,2018,13495,Manual,10335,Petrol,145,57.7,1,ford
 Q5,2019,51990,Semi-Auto,3712,Diesel,145,34.5,3,Audi
 Focus,2018,11999,Manual,26898,Petrol,145,57.7,1,ford
 Citigo,2019,9399,Manual,4847,Petrol,150,65.7,1,skoda
 5 Series,2016,13499,Automatic,72095,Diesel,30,62.8,2,BMW
 4 Series,2016,17199,Automatic,41589,Diesel,160,49.6,3,BMW
 X7,2019,69995,Semi-Auto,4997,Diesel,145,31.4,3,BMW
 Golf,2017,17995,Semi-Auto,30739,Diesel,30,62.8,2,volkswagen
 C Class,2020,39759,Semi-Auto,1000,Diesel,145,54.3,2,merc
 GLA Class,2016,16591,Semi-Auto,48808,Diesel,125,56.5,2.1,merc
 Fiesta,2014,6988,Manual,53987,Petrol,0,65.7,1,ford
 Kodiaq,2019,21495,Automatic,8303,Diesel,145,56.5,2,skoda
 I20,2019,12495,Manual,5000,Petrol,145,46.3,1.2,hyundi
 C Class,2019,30889,Automatic,8500,Diesel,145,61.4,2,merc
 A3,2017,25999,Manual,21349,Petrol,200,39.8,2,Audi
 Golf,2019,24490,Manual,7982,Petrol,145,37.7,2,volkswagen
 Crossland X,2018,10750,Manual,6500,Petrol,145,44.8,1.2,vauxhall
 Fiesta,2019,16980,Manual,4003,Petrol,145,60.1,1,ford
 X5,2019,48892,Automatic,7666,Diesel,145,37.7,3,BMW
 C Class,2020,,Semi-Auto,2669,,145,,2,merc
 Corsa,2010,2995,Manual,71000,Petrol,125,53.3,1.2,vauxhall
 Focus,2016,10991,Manual,25152,Diesel,0,74.3,1.5,ford
 2 Series,2018,14995,Automatic,13889,Petrol,145,55.4,1.5,BMW
 Astra,2017,10290,Manual,28000,Diesel,20,72.4,1.6,vauxhall
 A7,2017,22895,Semi-Auto,49281,Diesel,150,54.3,3,Audi
 I10,2019,10495,Semi-Auto,7077,,145,,1.2,hyundi
 Golf,2016,12795,Manual,25556,Petrol,30,53.3,1.4,volkswagen
 Fiesta,2017,8990,Manual,14461,Petrol,125,54.3,1.2,ford
 A1,2020,21888,Semi-Auto,3500,Petrol,145,44.8,1.5,Audi
 Aygo,2017,8390,Manual,19088,Petrol,145,68.9,1,toyota
 C Class,2016,16695,Semi-Auto,41000,Diesel,30,64.2,2.1,merc
 Fiesta,2014,9995,Manual,37484,Petrol,145,47.9,1.6,ford
 Polo,2015,9195,Semi-Auto,22150,Petrol,20,60.1,1.2,volkswagen
 Fabia,2015,5700,Manual,56746,Petrol,20,58.8,1.2,skoda
 RS3,2015,26995,Semi-Auto,60457,Petrol,300,34.9,2.5,Audi
 Tiguan,2014,10100,Manual,43927,Diesel,165,48.7,2,volkswagen
 IX35,2014,8499,Manual,44016,Diesel,145,53.3,1.7,hyundi
 Fiesta,2013,5999,Manual,75639,Petrol,0,65.7,1,ford
 Q3,2017,18444,Semi-Auto,39913,Petrol,150,47.9,1.4,Audi
 Fiesta,2019,15499,Manual,7175,Petrol,145,55.4,1,ford
 Fiesta,2016,10175,Manual,7917,Petrol,0,65.7,1,ford
 C Class,2019,29399,Semi-Auto,8545,Diesel,145,61.4,2,merc
 Tiguan,2018,21012,Semi-Auto,14065,Diesel,145,46.3,2,volkswagen
 Crossland X,2019,11440,Manual,16137,Petrol,145,47.1,1.2,vauxhall
 A3,2015,18489,Semi-Auto,49748,Petrol,200,39.8,2,Audi
 Fiesta,2015,9995,Automatic,4000,Petrol,145,47.9,1.6,ford
 Edge,2017,19695,Semi-Auto,27697,Diesel,145,48.7,2,ford
 Touareg,2017,23890,Automatic,49632,Diesel,240,42.8,3,volkswagen
 Passat,2018,15485,Semi-Auto,32007,Diesel,145,62.8,2,volkswagen
 Octavia,2019,20795,Semi-Auto,7200,Petrol,145,37.7,2,skoda
 Fiesta,2019,16500,Manual,4578,Petrol,145,58.9,1,ford
 T-Roc,2018,16799,Manual,16817,Petrol,145,55.4,1,volkswagen
 Edge,2018,26995,Automatic,8633,Diesel,145,47.9,2,ford
 S-MAX,2016,15500,Manual,27790,Diesel,125,56.5,2,ford
 E Class,2017,20998,Semi-Auto,22930,Diesel,145,72.4,2,merc
 A Class,2018,16699,Manual,26758,Petrol,145,51.4,1.6,merc
 Q7,2019,66990,Automatic,6000,Diesel,145,33.2,3,Audi
 Kodiaq,2018,21533,Automatic,17884,Petrol,145,44.8,1.4,skoda
 Corsa,2015,7000,Manual,34387,Petrol,20,64.2,1,vauxhall
 A4,2016,14950,Manual,22000,Petrol,145,51.4,1.4,Audi
 C-MAX,2016,9498,Manual,17231,Diesel,20,68.9,1.5,ford
 Astra,2016,8000,Manual,53941,Diesel,0,78.5,1.6,vauxhall
 1 Series,2018,21999,Automatic,16475,Petrol,145,39.8,3,BMW
 Yaris,2013,6675,Manual,45763,Petrol,125,51.4,1.3,toyota
 Focus,2018,11618,Manual,10000,Petrol,145,61.4,1,ford
 Astra,2016,8298,Manual,54794,Diesel,0,74.3,1.6,vauxhall
 GTC,2017,10998,Manual,23903,Petrol,165,47.1,1.4,vauxhall
 I10,2017,6495,Manual,33501,Petrol,150,60.1,1,hyundi
 GLE Class,2016,36182,Automatic,40945,Diesel,300,39.2,3,merc
